編號,基金會名稱,郵遞區號,住址,董事長,目的,許可日期,文號,原始設立基金,目前基金總額,連絡電話,聯絡人,FAX,郵遞區號,聯絡地址,備註
224,財團法人漢聲文教基金會,105,臺北市松山區八德路4段72巷16弄5號之2,黃永松,以發揚中國傳統文化為宗旨。,1989-07-08,臺(78)高10168號,13200000,13200000,(02)2763-1452#275,蘇玊琴,(02)2311-8736,105,臺北市松山區八德路4段72巷16弄5號3樓,
225,財團法人呂旭立紀念文教基金會,106,臺北市大安區羅斯福路3段245號8樓之2,黃秀美,以推動心理健康，發展社會教為宗旨。,1989-04-20,臺(78)高17511號,1000000,1000000,(02)2363-9425#16,莊凡瑩,(02)2363-9435,106,臺北市大安區羅斯福路3段245號8樓之2,
226,財團法人立夫醫藥研究文教基金會,106,臺北市大安區信義路4段279號5樓,林穎曾,以協助發展中國醫藥為宗旨。,1989-10-06,臺(78)高48894號,1000000,50000000,(02)2703-3725,林珊如,(02)2708-6068,106,臺北市大安區信義路4段279號5樓,
227,財團法人法光文教基金會,105,臺北市松山區光復北路60巷20號,郭麗菊,弘揚中華文化實踐人間淨土、淨化社會人心、提倡學術創作與宗教哲學之研究為宗旨。,1989-10-12,臺(78)高49750號,6000000,49500000,(02)2578-3623,李富美,(02)2577-6609,105,臺北市松山區光復北路60巷20號,
228,財團法人哥倫比亞大學同學會文教基金會,106,臺北市大安區敦化南路2段207號38樓,徐旭東,以推展文教事業為宗旨,1989-10-13,臺(78)社50045號,1500000,3000000,(02)8101-8865,楊文琪,(02)8101-8858,110,臺北市信義區信義路5段7號59樓,
229,財團法人智榮文教基金會,105,臺北市松山區民生東路5段69巷21弄19號6樓,施振榮,以舉辦或獎助文教公益業務為宗旨。,1987-12-29,北市教四75117號,4000000,86220427,(02)2767-0212#20,何嘉羚,(02)2407-2777,105,臺北市松山區敦化北路122號7樓,原「秀蓮文教基金會」
230,財團法人鄭氏藥學文教基金會,111,臺北市士林區天母北路64號1樓,鄭慧文,以獎勵藥學教育，促進藥學發展為宗旨。,1989-10-09,臺(78)社49274號,10000000,10000000,(02)2876-0166,李佳欣,(02)2786-7332,111,臺北市士林區天母北路64號1樓,
233,財團法人華岡文教基金會,111,臺北市士林區陽明山華岡路1巷19號2樓,簡江作,獎助青年學子，提倡文化教育活動，促進國際文化交流及推行社會公益活動，消弭社會暴戾之氣，增進全民福祉。,1989-10-28,臺(78)社52851號,1000000,4500000,(02)2861-0511#39524,廖燦輝,(02)2861-8623,111,臺北市士林區陽明山華岡路1巷19號2樓,
234,財團法人千代文教基金會,111,臺北市士林區天母西路13巷7號5樓,樊楚才,研究兒童、青少年、成人、婚姻及家庭教育的方法與理念，並以學術研究為基礎，推動學術、文化、藝術交流，提昇教育品質，以協助人間心靈的淨化與交契。進而推動兒童、青年少、婦女、老人等福利促成社會和諧為宗旨。,1989-10-28,臺(78)社52855號,1360000,1360000,(02)2873-5135,胡正文,(02)2871-7087,111,臺北市士林區天母西路13巷7號5樓,
235,財團法人生活品質文教基金會,106,臺北市大安區忠孝東路3段248巷19弄36號,余宗澤,推廣生活品質教育之服務精神，從事研究國人生涯發展狀況，並出版與發行有關生涯發展，社會工作之書籍與期刊，以協助國人獲得生涯發展應有的知識資料，以提昇國人生活品質。,1989-11-14,臺(78)社55838號,2000000,2000000,(02)2755-1812#17,鍾馥茹,(02)2775-1243,106,臺北市大安區忠孝東路3段248巷19弄36號,
237,財團法人菲仕蘭文教基金會,104,臺北市中山區松江路87號8樓之2,范征鴻,秉持「以企業回饋對社會貢獻為使命」之理念，以「全力推展醫學、人文、學術教育活動、輔助生物科技之研究、促進商學和管理科學之發展，並積極參與推廣社會文教公益活動」為宗旨。,1989-11-14,臺(78)社55837號,4000000,9000000,(02)2506-0056,蔡秀紗,(02)2508-0586,104,臺北市中山區松江路87號8樓之2,
238,財團法人大同學術基金會,100,臺北市中正區仁愛路2段34號10樓之1,吳大緯,從事社會學術研究發展工作。,1989-11-24,臺(78)社55839號,10000000,10000000,(02)8913-3691,吳大緯,(02)8913-3691,231,新北市新店區中興路2段201號9樓之6,
239,財團法人沈剛伯先生學術基金會,106,臺北市大安區青田街9巷4號,劉步遠,以提倡歷史學術研究。,1989-11-27,臺(79)社58600號,1380000,1380000,(02)2368-0116,蔡中理,,106,臺北市溫州街20巷5號3樓,
240,財團法人逸仙文教基金會,100,臺北市中正區廈門街100號2樓,李子弋,為培育未來建設自由民主新中國人才，獎助有關人文、社會、自然、科學之學術發展，研究活動及優秀、清寒之海外大陸留學生，暨辦理海峽兩岸文教交流活動為目的。,1989-11-07,臺(78)社54717號,27164000,27164000,(02)2365-0732,施秀宜,(02)2365-9593,100,臺北市中正區廈門街100號2樓,
241,財團法人道南文教基金會,100,臺北市中正區忠孝東路1段49巷23號,朱澤民,以推廣財稅教育；獎助清寒優秀學生貫徹社會正義的租稅制度，達成安和樂利的社會。,1989-12-08,臺(78)社60852號,1500000,1500000,(02)2939-3091#50961,鄭雅靜,(02)2939-0074,116,臺北市文山區指南路2段64號(政大財政系),
242,財團法人中國青年大陸研究文教基金會,104,臺北市中山區松江路219號,李鐘桂,以配合政府大陸政策，從事中國大陸學術研究、青年時事教育之推動及兩岸青年交流工作為宗旨。,1990-02-15,臺(79)社6534號,2000000,54563833,(02)2502-5858#253,王辛偉,(02)2501-1392,104,臺北市中山區松江路219號,
243,財團法人德富文教基金會,104,臺北市中山區南京東路3段21號6樓,吳東昇,以精緻文化培育人才，增進國民生活品質為理想，秉持發揚中華文化，推動學術研究風氣，支助留學教育為宗旨。,1989-12-08,臺(78)社60853號,20000000,20000000,(02)2515-0532,吳詠慧,(02)2506-0227,104,臺北市中山區南京東路3段21號6樓,
244,財團法人山葉機車崇學基金會,320,桃園縣中壢市中華路2段3號,陳輝煌,贊助提供國內教育界人士國外進修或考察充實教育界學術交流之各種活動設施為宗旨。,1989-12-21,臺(78)社63398號,30000000,30000000,(03)452-5151,何臺增,(03)452-3737,320,桃園縣中壢市中華路2段3號,
245,財團法人天主教光仁文教基金會,106,臺北市大安區樂利路94號,洪山川,以發揮愛心，宏揚中華文化，推動社會教育為宗旨。,1990-01-24,臺(79)社3682號,10000000,103515851,(02)2739-2880#500,陳世敏,(02)2739-2882,106,臺北市大安區樂利路94號,
246,財團法人幼兒教育基金會,106,臺北市大安區和平東路1段274號6樓,陳漢強,以研究、倡導及推廣兒教育為宗旨。,1989-12-28,臺(78)社64196號,1000000,1600000,(02)2369-3852,陳珮潔,(02)2369-2171,106,臺北市大安區和平東路1段274號6樓,原名「財團法人中國幼稚教育基金會」
249,財團法人鄭茂根文教基金會,115,臺北市南港區東新街170巷21之7號,葉楚生,以提昇人文精神，提倡人文之學，提高學術風氣與水準為宗旨。,1989-12-28,臺(78)社64195號,1400000,58655760,(02)2755-5677,鄭宗和,(02)2707-3725,106,臺北市大安區復興南路2段180巷24號3樓,
250,財團法人富帝國際文教基金會,104,臺北市中山區中山北路2段77巷47號2樓,陳盛泉,以舉辦或獎助文化教育及公益事業為宗旨。,1975-12-15,臺(64)社33580號,20000000,56151018,(02)2100-1690#263,顏政雄,(02)2523-4480,104,臺北市民生東路1段58號2樓,
251,財團法人王民寧先生紀念基金會,100,臺北市中正區襄陽路23號,王勳聖,紀念王民寧先生對製藥界之貢獻並發展醫藥學術研究及醫藥學教育為宗旨。,1990-01-17,臺(79)社2488號,7000000,279807593,(02)2312-4285,陳雅寬,(02)2361-5143,100,臺北市中正區襄陽路23號,
252,財團法人新道文教基金會,104,臺北市中山區長安東路2段100號12樓,賴國洲,協助倡導倫理道德，促進社會和諧進步為宗旨，從事或贊助編著出版、發行，並支援舉辦有益社會大眾身心健康之文化活動。,1990-01-25,臺(79)社3966號,71000000,83000000,(02)2719-1867,劉柔綺,(02)2786-5668,115,臺北市南港區成福路170號3樓之6,
253,財團法人日盛教育基金會,104,臺北市中山區松江路68號10樓,陳國和,研究公共政策，提倡自由均富經濟體制，獎助文教團體，宏揚社會倫理道德。,1990-01-04,臺(79)社0370號,10000000,210560000,(02)2521-7898,高妙華,(02)2521-8099,104,臺北市中山區松江路68號10樓,
256,財團法人上海商業儲蓄銀行文教基金會,104,臺北市中山區民生東路2段149號2樓,榮鴻慶,以從事社會文化教育及公益事業為宗旨。,1990-03-20,臺(79)社11867號,100000000,472334122,(02)2515-5511#602,陳品君,(02)2502-2817,104,臺北市中山區民生東路2段149號2樓,
257,財團法人富邦文教基金會,106,臺北市大安區仁愛路4段258號3樓,蔡萬才,提高國民生活品質、宏揚文化、發展社教、培養人才、增進人類福祉、世界和平。,1990-03-23,臺(79)社12387號,170000000,175000000,(02)2704-8856#762,楊順美,(02)2703-0626,106,臺北市大安區仁愛路4段258號3樓,
258,財團法人中國醫藥學院校友文教基金會,407,臺中市西屯區協和南巷3之3號,陳一雄,中西醫藥學術研究及社會教育之辦理。,1990-03-20,臺(79)社11865號,3000000,7000000,(04)2358-6238,陳怡君,(04)2350-1868,407,台中市西區中興街183號6樓之1,
259,財團法人侯政廷文教基金會,106,臺北市大安區光復南路288號4樓之6,候博文,從事文化教育活動，提昇國民生活品質，並促進國際文化交流。,1990-04-20,臺(79)社17337號,5000000,30000000,(02)2708-0933,吳冠梅,,106,臺北市大安區光復南路288號4樓之6,
260,財團法人雪心文教基金會,369,苗栗縣卓蘭鎮老庄里1鄰老庄2號,鄭勝陽,以發揚中華文化及舉辦教育公益事業為目的。,1990-04-26,臺(79)社18372號,3000000,57443228,(04)2287-3935#65,王秋棻,(0)2280-1217,401,臺中市東區立德街197號9樓,
261,財團法人耕莘文教基金會,100,臺北市中正區辛亥路1段22號4樓,高明瑞,以舉辦文教活動，提高國民文化水準，促進個人人格成長及服務社會為宗旨。,1990-04-26,臺(79)社18371號,3600000,8000000,(02)2365-5615#315,陳偉茵,(02)2368-5130,100,臺北市中正區辛亥路1段22號4樓,
262,財團法人基礎道德文化教育基金會,108,臺北市萬華區寶興街188巷2號,張培成,以發揚中華倫理道德文化為理想，推動社會文教活動。,1987-10-28,臺(76)社51450號,3000000,57436739,(02)2305-6278,劉定文,,108,臺北市萬華區寶興街188巷2號,
263,財團法人教育興革文教基金會,412,臺中市大里區益民路2段158號,鄧永錢,以主張學術自由化、教育多元化、重整社會道德、復興固有文化、促進教育興革，提昇文教從業人員品質與福利為宗旨。,1990-05-07,臺(79)社20564號,3000000,36779700,(02)8768-1113,王吉祥,(02)8768-1113,110,臺北市信義區東興路55號6樓,
264,財團法人實踐大學校友文教基金會,104,臺北市中山區大直街62巷3號,林周絳華,以「推廣社會教育、服務社會、造福人群」為宗旨。,1990-05-30,臺(79)社19791號,10000000,10000000,(02)2538-1111#1009,蔡幸芬,(02)2533-1969,104,臺北市中山區大直街70號,
265,財團法人沈水德翁文教基金會,737,臺南市鹽水區橋南街11巷7號,沈重光,促進台灣地區文化生活水準提高，擬經由文化教育、慈善公益等工作或事業之舉辦及獎助促成此一宗旨之實現。,1990-05-09,臺(79)社21042號,2200000,4667980,(06)213-4803,薛幸瑗,(06)213-8155,701,臺南市東區中華東路2段185巷16號8樓,
266,財團法人海鷗春陽文教基金會,202,基隆市中正區信二路303號3樓,張堅華,推廣社會教育，辦理學術研究、國際交流及社會公益活動。,1990-03-12,臺(79)社10281號,1001000,1001000,(02)2427-1136,郝文正,(02)2425-3733,202,基隆市中正區信二路303號3樓,
267,財團法人中正理工學院校友文教基金會,335,桃園縣大溪鎮員林里三元一街190號,李興緯,以倡導國防科技之研究發展，提昇國防科技教育之口質，帶動學術研究之風氣，增進教育之效果為宗旨。,1990-02-10,臺(79)社5800號,1050000,3700000,(03)380-4246,蔡積善,(03)389-1520,335,桃園縣大溪鎮員樹林三元一街190號,
268,財團法人厚德文教基金會,108,臺北市萬華區西寧南路4號7樓12室,周香,以興辦全國社會教育活動，以促進人力資源之運用為宗旨。,1990-05-24,臺(79)社23776號,3000000,3000000,(03)422-3256,廖運俊,(03)422-3256,320,桃園縣中壢市中豐路184號3樓,
269,財團法人許文華文教基金會,104,臺北市中山區建國北路2段94號12樓,趙晶雲,提供財力及物力，舉辦學術活動、資助學術研究、推廣中華文化、促進國際學術交流。,1990-05-22,臺(79)社23494號,3000000,3000000,(02)2505-5561,方琦,,104,臺北市中山區建國北路2段94號12樓,
270,財團法人于右任文教基金會,100,臺北市中正區杭州南路2段54之2號,吳禎,紀念先賢于右任先生，並將其嘉言遺德發揚光大。,1990-05-30,臺(79)社24818號,15000000,15000000,(02)2894-8103,廖純銘,,112,臺北市北投區光明路2巷1弄6號3樓,
271,財團法人毛毛蟲兒童哲學基金會,106,臺北市大安區和平東路1段199巷10號1樓,楊茂秀,以推展兒童哲學研究與教學為宗旨。,1990-05-30,臺(79)社24808號,3500000,3500000,(02)2357-9936#12,陳毓書,(02)2357-0451,106,臺北市大安區和平東路1段199巷10號1樓,
274,財團法人天元文教基金會,111,臺北市士林區重慶北路4段177號3樓,曹海瀛,為效法聖賢精神，籌設國學文教機構，培養傳道授業解惑人才，宣揚先天之道統文化，淨化社會人心，促進世界大同為宗旨。,1990-06-05,臺(79)社25824號,3000000,4504400,(02)2811-4114,廖秋鎔,(02)2702-4329,111,臺北市士林區臺北郵局第26之954號信箱,
275,財團法人杜詩綿教授學術基金會,100,臺北市中正區中山南路7號台大醫院耳鼻喉部,徐茂銘,以提昇國內耳鼻喉科臨床及基礎研究為目的。,1990-01-28,臺(79)社30438號,3006000,5706000,(02)2312-3456#5227,陳維寧,,100,臺北市中正區中山南路7號台大醫院耳鼻喉部,
276,財團法人民族文化基金會,110,臺北市信義區莊敬路197巷12號7樓,王正琛,發揚我國各民族傳統文化，促進國族團結。,1990-06-30,臺(79)社30853號,3500000,6800000,(02)8789-8998,石炳銘,(02)2346-0169,110,臺北市信義區莊敬路197巷12號7樓,
277,財團法人憲兵學校校友文教基金會,248,新北市五股區成泰路1段175號,石民,以研究憲政，復興民族文化重建倫理道德，提高生活素質，增進社會福祉。,1990-06-28,臺(79)社30437號,1010000,1560000,(02)2291-8284,黃瑞和,,248,新北市五股區成泰路1段175號,
278,財團法人空軍軍官學校校友文教基金會,820,高雄市岡山區福興里8鄰官校路1號,史銳,溝通國事觀念，團結向心，擁護國策倡導航太科學之研究與發展，提昇太空航行、航空工程、航太管理、航太生心理等教育之品質，推動學術研究之風氣，增進教育之效果為目的。,1990-06-28,臺(79)社30436號,1000000,1000000,(07)626-0836,廖思傀,,820,高雄市岡山區郵政第90277附2號信箱,
280,財團法人空軍機械學校校友文教基金會,820,高雄市岡山區巨輪路1號,高愉生,以溝通國是觀念，加強航機研究。,1990-07-12,臺(79)社33132號,1000000,1000000,(07)625-0506,劉金亭,(07)625-6625,820,高雄市岡山區巨輪路1號,
281,財團法人彌陀文教基金會,108,臺北市萬華區西寧南路11號3樓,淨良,以佛法教育，弘揚佛陀慈悲精神，期能改善社會風氣，並宣揚中華文化，增進國際文化交流為宗旨。,1990-07-12,臺(79)社33213號,3000000,3000000,(02)2895-3699,堅如,(02)2895-3699,112,臺北市北投區東昇路3號,
282,財團法人名儕醫學文教基金會,106,臺北市大安區永康街7巷23號5樓,李源德,以疾病診療研究，教育推展及國際交流，並兼及社區醫學發展，一般大眾之衛教，貧困人士之醫療資助等為宗旨。,1990-08-15,臺(79)社34459號,3000000,28466505,(02)2393-0219,林麗玲,(02)2395-9933,106,臺北市大安區永康街7巷23號5樓,
283,財團法人仁美文教基金會,300,新竹市自由路34號,張啟新,以研究固有六藝學術，復興民族文化，重建倫理道德，提高生活素質，增進社會福祉為目的。,1990-07-18,臺(79)社34220號,1010000,1010000,(03)220-5185,涂仟又,(03)228-8828,330,桃園市宏昌十二街38巷6號4樓,
284,財團法人政大學術發展基金會,116,臺北市文山區指南路2段64號,吳思華,以發展學術、加強研究教學為宗旨。,1990-09-08,臺(79)社44430號,5000000,98000000,(02)2938-7155,李穎,(02)2938-1735,116,臺北市文山區指南路2段64號政治大學行政大樓6樓,
288,財團法人全錄文教基金會,105,臺北市松山區敦化北路88號7樓,?世光,透過學術機構暨民間企業團體之交流活動，以提升文化教及經營管理水準。,1990-06-12,臺(79)社40016號,20000000,20000000,(02)2298-2235,李美玲,(02)2298-2235,0,臺北市松山區敦化北路88號7樓,
289,財團法人功文文教基金會,104,臺北市中山區民權西路48號4樓,趙廣瀛,以從事教育、學術、文化的研究與發展，親職教育的推動，青少年學習潛能，生活品質及人格教育的提升，並促進國際教育文化交流為宗旨。,1990-08-14,臺(79)社39585號,10000000,10000000,(02)2563-4036,蔡曉萍,(02)2511-5810,104,臺北市中山區民權西路48號4樓,
290,財團法人馨園文教基金會,106,臺北市大安區敦化南路1段259號9樓,彭炳進,以獎勵教育學術研究，發展文化活動為宗旨。,1990-08-20,臺(79)社40505號,3000000,3000000,(02)2703-6636,張慶秀,(02)2706-8752,106,臺北市大安區敦化南路1段259號9樓,
291,財團法人泰山文化基金會,104,臺北市中山區長安東路2段99號4樓之1,詹仁道,以促進和諧人生，提昇國民氣質，宏揚中華文化為宗旨。,1990-08-14,臺(79)社39587號,12000000,12000000,(02)2501-7722,劉玲瑜,(02)2501-3164,104,臺北市中山區長安東路2段99號4樓之1,
293,財團法人靈山文教基金會,100,臺北市中正區忠孝西路1段21號7樓,黎光蓮,推展佛教文教事業。,1990-08-21,臺(79)社40862號,22500000,22500000,(02)2361-3016,邱碧玉,(02)2314-1049,100,臺北市中正區忠孝西路1段21號3、7樓,
294,財團法人佛教青年文教基金會,104,臺北市中山區長安東路2段78號2樓,鄭正義,以佛學之研究與實踐為宗旨，並辦理有益身心健康之社會教育工作，出版佛學文物，獎助學術團體從事宗教學術研究。,1990-08-20,臺(79)社40508號,3000000,3000000,(02)2507-5527,林章香,(02)2507-5527,104,臺北市中山區長安東路2段78號2樓,
295,財團法人中國研究文教基金會,100,臺北市中正區青島東路7號3樓之3,楊冠宇,以促進中國問題研究，並增進本國與世界各國間友好關係為宗旨。,1990-09-21,臺(79)社40182號,3000000,3000000,(02)8952-1164,張兆宜,(02)2964-5506,220,新北市板橋區重慶路253號31樓之1,
296,財團法人青年之愛文教基金會,114,臺北市台北市內湖區成功路3段133號2樓,黃珊珊,以推行民主法治教育，激勵青年以熱愛國家為榮，服務社會為宗旨。,1996-12-22,臺(85)社(四)85107522號,3000000,3000000,(02)2790-5236,李佳妍,(02)2790-5236,114,臺北市內湖區成功路3段133號2樓,
297,財團法人展望文教基金會,105,臺北市松山區民生東路3段530巷2號2樓之2,李慶華,以促進學術、文化、藝術、教育及體育之發展為宗旨。,1990-08-16,臺(79)社39944號,3000000,3000000,(02)2322-5885,卓小姐,無,100,臺北市中正區濟南路1段3之1號2111室,
298,財團法人淨化社會文教基金會,236,新北市土城區學府路1段23巷21號,徐明輝(釋淨耀),以佛教慈悲濟世的精神，推動具體的社會教育，並扭轉社會不良風氣，提倡健康、和諧、理性的善良風俗。藉由教育管道，關懷成長中青少年，指引正確的人生觀、價值觀、與社會觀為宗旨。,1990-08-17,臺(79)社40183號,8773548,398322527,(02)8261-1993,陳美川,(02)2262-3359,236,新北市土城區學府路1段23巷21號,
300,財團法人築夢教育基金會,106,臺北市大安區羅斯福路三段301號4樓,劉岳靇,鼓勵青年關懷海外事務、積極參與社會、自我充實、建立正確的國際觀、人生觀及價值觀。,1990-08-13,臺(79)社39246號,3000000,3000000,(02)3365-2876,曾冠仁,(02)3365-2877,231,新北市新店區達觀路40號6樓之4,
303,財團法人前瞻文教基金會,106,臺北市大安區麗水街21巷1-1號5樓,張麟徵,以從事公共政策及國際關係之前瞻性研究，並將研究結果提供政府及民間各界參考為宗旨。,1990-09-20,臺(79)社46897號,3000000,3000000,(02)2356-8633,魏琳,(02)2356-8633,106,臺北市大安區復興南路2段151巷8號2樓之5,
304,財團法人華岡法學基金會,0,臺北市漢口街一段82號3樓,周俊吉,以獎助並推展法學教育為宗旨。,1990-10-12,臺(79)社50207號,3000000,13000000,(02)2331-8009,李泰澄,,100,臺北市漢口街一段82號3樓,
305,財團法人現代婦女教育基金會,100,臺北市中正區羅斯福路1段7號7樓之1B室,潘維剛,關心婦女生活、規劃、研究婦女教育，推廣婦女教育、協助弱勢婦女、提升婦女地位、保障婦女權益為目的。,1990-10-05,臺(79)社48967號,3000000,3000000,(0202391-7133#601,姜美鳳,(02)2391-7129,100,臺北市中正區羅斯福路1段7號7樓之1B室,
306,財團法人台灣明愛文教基金會,100,臺北市中正區中山北路1段2號中央大樓920室,黃兆明,以推動全人發展舉辦公益事業為宗旨。,1990-10-05,臺(79)社48988號,3000000,33000000,(02)2381-2140,李玲玲,(02)2311-5124,100,臺北市中正區中山北路1段2號中央大樓920室,
309,財團法人民主文教基金會,100,臺北市中正區青島東路7號3樓之3,高輝,以推廣國家民主與統一之教育及促進公共政策之學術研究為宗旨。,1990-10-12,臺(79)社50247號,10000000,10000000,(02)2861-9478,陳淑珍,(02)2861-3053,100,臺北市中正區青島東路7號3樓之3,
310,財團法人臺大經濟研究學術基金會,100,臺北市中正區徐州路21號台大經濟系辦公室,孫震,以促進及獎助經濟研究之學術活動。,1990-11-03,臺(79)社54058號,13100000,13587299,(02)2351-9641#240,張婷韻,(02)2321-5704,100,臺北市中正區徐州路21號台大經濟系辦公室,
311,財團法人台達電子文教基金會,104,臺北市中山區長春路176號4樓,鄭崇華,以長期獎勵電機、電子、環保、能源、材料、機械、企管等科學及其它文教、學術活動為宗旨。,1990-10-29,臺(79)社53305號,15000000,903750000,(02)8797-2088#5043,陳雯甄,(02)8797-2434,114,臺北市內湖區瑞光路186號,
312,財團法人中正大學學術基金會,621,嘉義縣民雄鄉三興村大學路1段168號,簡鴻文,以發展學術，培養優秀人才，獎助傑出教師及獎勵優秀學生為宗旨。,1990-11-27,臺(79)社58649號,10000000,17059598,(05)2720-411#16002,劉玉,(05)2721-652,621,嘉義縣民雄鄉三興村大學路1段168號,
313,財團法人台大獸醫學系系友文教基金會,106,臺北市大安區羅斯福路4段1號台大獸醫學系內,江世明,以發揚獸醫文教及服務系友等為宗旨。,1991-02-07,臺(80)社06628號,4000000,4000000,(02)3366-9913,陳韻安,(02)2363-3289,106,臺北市大安區羅斯福路4段1號台大獸醫學系內,
315,財團法人圓覺宗智敏慧華金剛上師教育基金會,105,臺北市松山區南京東路5段63號14樓之3,陳聲漢,秉上師慈悲喜捨精神，以徹底改造人心，回歸至善至美為理想，並以端正社會風氣發揚固有文化，興辦教育公益事業為宗旨。,1991-02-08,臺(80)社07008號,10000000,139489405,(02)2753-2621,丁志勇,(02)2765-3313,105,臺北市松山區南京東路5段63號14樓之3,
316,財團法人國防醫學院校友文教基金會,106,臺北市大安區仁愛路4段112巷11號,王丹江,以發展醫學學術，振興醫學倫理，推展各項文教為宗旨。,1991-02-12,臺(80)社07433號,7000000,17300000,(02)8792-3124,鄭美玉,(02)8792-2911,114,臺北市內湖區民權東路6段161號,
319,財團法人人格建構工程學研究基金會,100,臺北市中正區濟南2段31之17號金山大廈五樓A棟,瞿立鶴,探討人類生命成長各皆段所需良性環境，維護兒格童格等健全人格建構的良性發展，環境，推展全人教育促，促進社會健全發展，增進人類福祉與和平。,1991-04-16,臺(80)社17564號,10000000,10000000,(02)2821-2009#16,吳國芳,(02)2820-5790,112,臺北市北投區明德路200號,
320,財團法人李國鼎科技發展基金會,106,臺北市大安區金華街110號3樓,楊世緘,以協助發展科技促進國家進步。,1991-05-14,臺(80)社23508號,50010000,160000000,(02)2393-5991,羅文珊,(02)2393-5920,106,臺北郵政7-936號信箱,
321,財團法人徐增壽文教基金會,100,臺北市大安區敦化南路2段46號6樓之11,王紹堉,協助財務上有困難之學生。,1991-08-12,臺(80)社30047號,10000000,47397501,(02)2701-3035#222,陳淑雲,(02)2701-3091,106,臺北市大安區敦化南路2段46號6樓606室,
322,財團法人永壽文教基金會,104,臺北市中山區南京東路1段21號,何紀豪,發揚文化、提昇教育、倡導學術研究，增進教育為宗旨。,1991-06-12,臺(80)社30046號,12000000,41006268,(02)2542-8688,蘇約瑟,(02)2561-9875,104,臺北市中山區南京東路1段21號,
324,財團法人張榮發基金會,100,臺北市中正區中山南路11號9樓,張榮發,以舉辦或獎助文教公益事業為目的。,1986-01-13,北市教四71719號,100000000,11725341275,(02)2351-6699#251,吳美智,(02)23915187,100,臺北市中正區中山南路11號9樓,
325,財團法人兩傳文教基金會,104,臺北市中山區松江路237號15樓,陳兩傳,舉辦文教公益事業為宗旨。,1991-12-14,臺(80)社67961號,10000000,33490000,(02)2509-2188分機2367,陳兩傳,(02)2606-1489,104,臺北市中正區松江路237號15樓,
326,財團法人中華民國兒童福利聯盟文教基金會,103,臺北市大同區長安西路43號7樓,馮燕,以倡導兒童福利觀念，推展兒童教育，保障兒童權利，促進兒童健全發展，增進兒童福利為宗旨。,1991-12-17,臺(80)社68936號,10000000,430000000,(02)2550-5959#101,王採蓮,(02)2550-0505,103,臺北市大同區長安西路43號7樓,
327,財團法人漢家文教基金會,710,臺南市永康區中正路529號,唐雪東,以協助台南科技大學辦理各項文教活動，協助家境清寒或家遭變故學生順利完成學業為宗旨。,1991-12-20,臺(80)社68998號,16000000,30000000,(06)253-5642,廖元民,(06)254-0702,710,臺南市永康區中正路529號,
328,財團法人中華民國微生物文教基金會,104,臺北市中山區南京東路3段68號14樓,許瑞祥,以資助、推展、進行微生物科學研究為宗旨。,1991-12-24,臺(80)社69557號,10000000,10000000,(02)2517-2871,林宜涵,(02)2517-2910,104,臺北市中山區南京東路3段68號16樓,
329,財團法人惜福文教基金會,404,臺中市北區三民路3段183之1號,劉福壽,以協助政府推動社會教育改善社會風氣、崇尚公共道德、培養惜福感恩之社會倫理，提昇生活品質，建設富而好禮的社會宗旨。,1991-12-20,臺(80)社69000號,10000000,10000000,(04)2225-3889,劉佳穎,(04)2221-3230,404,臺中市北區三民路3段183之1號,
330,財團法人旺旺文教基金會,103,臺北市大同區西寧北路72號,鄭俊達,以宏揚舉辦或獎助文教公益事業為宗旨。,1991-12-09,臺(80)社68863號,10000000,53000000,(02)2554-5387,黃敏雁,(02)2554-5399,103,臺北市大同區西寧北路72號,
331,財團法人楊懋春貞德紀念基金會,106,臺北市大安區羅斯福路4段1號,劉清榕,獎助及推展鄉村教育研究文化事業為宗旨。,1991-12-24,臺(80)社69560號,12411271,12411271,(02)3366-4417,陳玉華,(02)2363-5879,106,臺北市大安區羅斯福路4段1號臺灣大學生物產業傳播暨發展學系轉,
332,財團法人中華學術文教基金會,105,台北市中正區林森南路12號11樓之1,謝瑞智,以弘揚中華文化、重整社會倫理、鞏固民主法治、促進學術交流為宗旨。,1991-12-20,臺(80)社6894號,10000000,10000000,(02)2394-7688,黃素珠,(02)2394-7566,100,10051台北市中正區林森南路10號10樓之1,
333,財團法人張明王國秀文教基金會,411,臺中市太平區中山路1段215巷35附1號,王國秀,為遵循國家文教政策暨現行法令之規定，辦理張明王國秀文教基金會並謀其發展。,1991-12-20,臺(80)社68995號,10000000,139195690,(04)2392-3989,張藝英,(04)2392-1136,411,臺中市太平區中山路1段215巷35附1號,
335,財團法人臺灣大學學術發展基金會,106,臺北市大安區羅斯福路4段1號,李嗣涔,以促進台灣大學校園之發展及提昇台灣大學師生之學術研究與教學水準為宗旨。,1991-12-20,臺(81)社68996號,40000000,58000000,(02)3366-2991,楊舒棋,(02)2362-1655,106,臺北市大安區羅斯福路4段1號,
336,財團法人劉路加文教基金會,105,臺北市松山區復興北路57號10樓,劉智仁,一、清寒學生獎學金。二、從事教育文化公益性事業之活動。,1991-12-20,臺(81)社68985號,10000000,10500000,(02)2721-7371#55,陳美秀,(02)2721-7489,105,臺北市松山區復興北路57號10樓,
